zip_code,year,population
01224,2010,182
01225,2016,3192
01225,2015,3124
01225,2014,3057
01225,2013,3059
01225,2012,3036
01225,2011,3033
01225,2010,3117
01226,2016,6885
01226,2015,6892
01226,2014,6944
01226,2013,6981
01226,2012,7024
01226,2011,6971
01226,2010,6945
01229,2016,102
01229,2015,114
01229,2014,131
01229,2013,111
01229,2012,170
01229,2011,178
01229,2010,95
01230,2016,8195
01230,2015,8048
01230,2014,8148
01230,2013,8200
01230,2012,8486
01230,2011,8697
01230,2010,8430
01235,2016,2666
01235,2015,2866
01235,2014,2904
01235,2013,3032
01235,2012,2867
01235,2011,2861
01235,2010,2766
01236,2016,1422
01236,2015,1538
01236,2014,1574
01236,2013,1631
01236,2012,1396
01236,2011,1323
01236,2010,1509
01237,2016,2755
01237,2015,2841
01237,2014,2735
01237,2013,2509
01237,2012,2599
01237,2011,2544
01237,2010,2496
01238,2016,5950
01238,2015,5950
01238,2014,6245
01238,2013,6198
01238,2012,6190
01238,2011,6209
01238,2010,6047
01240,2016,4592
01240,2015,4603
01240,2014,4823
01240,2013,4818
01240,2012,4442
01240,2011,4418
01240,2010,4534
01242,2016,429
01242,2015,394
01242,2014,192
01242,2013,155
01242,2012,569
01242,2011,578
01242,2010,476
01243,2016,381
01243,2015,374
01243,2014,383
01243,2013,345
01243,2012,267
01243,2011,249
01243,2010,334
01244,2016,82
01244,2015,115
01244,2014,149
01244,2013,150
01244,2012,133
01244,2011,172
01244,2010,151
01245,2016,870
01245,2015,950
01245,2014,807
